1545.3514404296875,1546.0113525390625,1546.9937744140625
1545.533935546875,1546.01123046875,1546.995361328125
1545.6956787109375,1546.0079345703125,1546.9901123046875
1545.8878173828125,1546.00830078125,1546.9959716796875
1546.0579833984375,1546.0081787109375,1546.9949951171875
1546.235107421875,1546.0076904296875,1546.9957275390625
1546.4095458984375,1546.0079345703125,1546.993408203125
1546.5936279296875,1546.00732421875,1546.993408203125
1546.7822265625,1546.0076904296875,1547.0120849609375
1546.9923095703125,1546.0079345703125,1546.9139404296875
1547.1640625,1546.0084228515625,1546.96484375
1547.380615234375,1546.009033203125,1546.9910888671875
1547.5653076171875,1546.0079345703125,1546.9927978515625
